1;0;246;2786.72
182;114.89;311;765.75
246;2781.57;312;99.65
311;764.34;313;1015.53
312;99.47;314;19.21
313;1013.65;315;126.42
314;19.18;316;55.9
315;126.19;317;5.4
316;55.79;318;612.6
317;5.4;323;199.1
318;611.47;324;35.22
323;198.74;325;473.23
324;35;326;1320.66
325;472.36;327;55.75
326;1318.22;328;351.62
327;55.65;362;943.4
328;349.93;364;960.56
362;941.66;365;3.07
364;958.79;366;162.74
365;3.07;367;49.58
366;10.61;368;18.65
366;151.84;372;2630.88
367;49.49;373;5521.06
368;18.61;374;1531.5
372;958.79;375;56.24
372;1667.23;376;155.81
373;5510.85;377;407.38
374;1528.67;378;408.5
375;56.14;379;122.07
376;155.53;380;7.5
377;406.63;381;525.74
378;407.77;382;367.56
379;121.82;383;280.78
380;7.49;388;25.52
381;524.77;389;40.85
382;366.88;390;153.15
383;280.27;391;58.38
388;25.48;392;156.16
389;40.76;393;3124.26
390;152.87;394;5086.62
391;58.28;395;318.04
392;14.79;396;176.13
392;141.08;397;106.9
393;3118.48;398;111.29
394;5077.21;399;153.92
395;317.46;412;1868.35
396;175.81;566;581.97
397;106.71;567;440.26
398;111.09;568;91.89
399;153.64;569;33.49
412;301.18;570;141.82
412;1563.73;571;1881.11
566;580.9;572;8006.75
567;439.45;573;1201.24
568;91.72;574;135.78
569;33.43;575;7.81
570;141.56;576;915.92
571;1877.63;577;124.56
572;2945.99;578;214.39
572;5045.95;579;74
573;336.24;580;39.59
573;862.78;581;9.2
574;135.55;582;60.64
575;7.78;583;93.11
576;6.2;584;4230.25
576;908.03;585;528.17
577;124.33;586;49.62
578;214.02;587;101.69
579;73.88;588;8195.82
580;39.5;589;86.01
581;9.18;590;7470.65
582;60.53;591;6.26
583;92.94;760;38.28
584;4222.42;761;1240.52
585;527.2;762;49.78
586;49.53;763;9311.48
587;101.51;764;607.23
588;8180.65;765;0.01
589;85.86;766;1602.75
590;2853.51;767;168.57
590;4603.34;768;4243.79
591;6.22;769;37.78
760;38.21;770;17.95
761;1238.23;782;492.38
762;49.69;783;632.51
763;9294.25;785;0.2
764;606.11;786;51.46
765;0.01;787;61.26
766;1599.79;788;54.99
767;167.34;789;10.21
768;4235.94;790;385.27
769;37.72;791;119.15
770;17.73;792;218.7
782;491.47;793;1243.88
783;631.34;794;91.8
785;0.2;795;99.66
786;51.37;796;61.66
787;61.15;797;92.8
788;54.89;798;271.74
789;10.2;799;194.64
790;384.56;800;79.93
791;118.92;801;181.16
792;28.75;802;128.11
792;189.56;803;144.87
793;1241.58;804;4555.05
794;90.43;805;528.17
795;99.48;806;815.78
796;61.55;807;499.4
797;92.64;808;6244.44
798;128.74;809;215.94
798;142.47;810;75.66
799;194.28;811;79.63
800;79.81;812;802.21
801;24.58;813;478.46
801;156.17;814;7542.91
802;62.32;815;128.65
802;65.58;819;2807.14
803;9.93;820;43.39
803;134.72;821;1939.9
804;4546.62;822;270.77
805;527.2;823;357.35
806;814.27;824;204.29
807;498.48;825;39.5
808;6232.89;826;178.4
809;215.55;827;1111.41
810;75.34;828;1356.89
811;79.49;829;298.7
812;259.29;830;2116.42
812;541.41;831;52.06
813;477.59;832;18.23
814;7528.96;833;3.38
815;128.42;834;1733.11
819;2801.95;835;96.99
820;43.31;836;15.31
821;1936.31;837;54.36
822;270.27;838;1943.22
823;356.69;839;39.98
824;7.23;840;30.11
824;36.19;841;204.2
824;160.51;842;214.41
825;39.43;843;8168
826;178.07;846;87.19
827;1109.21;847;383.99
828;1354.46;848;195.46
829;298.18;849;34.12
830;553.3;850;501.44
830;1559.24;851;41.49
831;51.97;852;7.86
832;18.19;853;296.32
833;3.38;854;55.33
834;1730.01;855;475.78
835;96.82;856;179.69
836;15.29;857;296.09
837;54.27;858;1707.11
838;1939.67;859;1243.88
839;39.71;860;3093.02
840;30.06;861;929.11
841;203.83;862;867.85
842;214.02;863;83.2
843;8152.88;864;27.56
846;87.03;865;631.17
847;383.28;866;227.81
848;195.1;867;2.25
849;34.06;870;19.07
850;53.67;871;96.62
850;54.42;872;4.44
850;392.43;873;221.71
851;41.42;874;959.74
852;7.85;875;45.48
853;295.79;876;1429.4
854;55.24;877;93.93
855;474.85;954;194
856;179.37;955;931.15
857;295.55;956;114.34
858;30.58;957;9165.88
858;202.81;958;1253.79
858;1470.58;959;988.22
859;1241.58;960;6671.26
860;3087.29;961;29.4
861;927.4;962;1422.75
862;866.25;963;28.03
863;83.05;964;420.65
864;27.51;965;260.35
865;629.9;966;3204.78
866;227.33;967;538.45
867;2.25;968;4178.56
870;19.04;969;222.48
871;95.83;970;45.72
872;4.44;971;54.85
873;59.36;972;91.45
873;161.94;973;294.05
874;957.97;974;36.75
875;45.4;975;171.04
876;1426.76;976;339.96
877;93.76;977;29.03
954;193.63;978;380.83
955;929.43;979;78.19
956;114.14;980;40.27
957;9148.92;981;146.6
958;71.34;982;331.82
958;538.09;983;483.95
958;642.04;984;55.75
959;17.51;985;180.65
959;144.71;986;631.13
959;185.39;987;4993.01
959;200.97;988;158.05
959;437.82;989;79.13
960;556.44;990;969.08
960;6102.48;991;1370.2
961;29.35;992;1666.88
962;560.76;993;111.49
962;859.38;994;204.2
963;27.98;995;209.51
964;419.88;996;1295.65
965;259.87;997;32.86
966;18.93;998;53372.88
966;270.75;999;98969.98
966;2909;1000;16.85
967;56.79;1001;54.22
967;480.67;1002;112.31
968;925.99;1003;525.74
968;3244.85;1004;544.73
969;222.07;1005;122.11
970;45.64;1006;224.64
971;54.75;1007;8524.2
972;91.25;1008;98.22
973;293.51;1009;978.84
974;36.69;1010;247.59
975;24.39;1011;21.91
